City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,vila franca do campo,37.7167,-25.4333,67.87,99,93,10.58,PT,1698509573
146,tsiombe,-25.3,45.4833,75.36,78,0,10.13,MG,1698509573
147,lucapa,-8.4192,20.7447,77.41,66,22,2.28,AO,1698509574
148,afaahiti,-17.75,-149.2833,73.27,79,100,5.7,PF,1698509574
149,keflavik,64.0049,-22.5624,44.51,65,0,0.0,IS,1698509574
150,papao,-17.75,-149.55,74.88,76,100,5.88,PF,1698509575
151,port hedland,-20.3167,118.5667,78.85,100,40,18.41,AU,1698509575
152,ouadda,8.0777,22.4007,72.57,89,87,4.0,CF,1698509576
153,egilsstadir,65.2653,-14.3948,35.51,87,20,5.75,IS,1698509576
154,tres arroyos,-38.3739,-60.2798,84.92,20,42,16.28,AR,1698509576
155,nemuro,43.3236,145.575,52.9,75,33,4.45,JP,1698509577
156,qaqortoq,60.7167,-46.0333,33.73,72,19,1.59,GL,1698509577
157,dahab,28.501,34.5134,82.87,41,42,8.9,EG,1698509577
158,richards bay,-28.783,32.0377,66.85,90,100,9.26,ZA,1698509476
159,pemba,-12.974,40.5178,81.3,83,20,11.5,MZ,1698509578
160,raposa,-6.5167,-44.1833,101.08,22,14,7.7,BR,1698509567
161,salalah,17.0151,54.0924,82.49,74,0,4.61,OM,1698509497
162,vung tau,10.346,107.0843,82.09,82,76,13.22,VN,1698509579
163,pacific grove,36.6177,-121.9166,55.42,85,0,5.01,US,1698509580
164,whitehorse,60.7161,-135.0538,18.37,92,100,9.22,CA,1698509580
165,tshabong,-26.05,22.45,83.41,11,0,19.28,BW,1698509580
166,kuraymah,18.55,31.85,93.78,13,17,4.88,SD,1698509581
167,gamba,-2.65,10.0,81.01,78,48,8.61,GA,1698509581
168,lodja,-3.4833,23.4333,76.62,82,68,2.91,CD,1698509581
169,fort mcmurray,56.7268,-111.381,22.59,86,100,4.61,CA,1698509582
170,hamilton,39.1834,-84.5333,61.0,94,100,8.05,US,1698509299
171,mili,6.0815,171.735,83.23,73,95,7.92,MH,1698509583
172,volnovakha,47.601,37.4967,58.53,53,0,21.74,UA,1698509583
173,motueka,-41.1333,173.0167,44.1,88,11,4.85,NZ,1698509584
174,tual,-5.6667,132.75,82.04,80,86,5.82,ID,1698509584
175,hirara,24.8,125.2833,76.03,62,68,12.86,JP,1698509585
176,nogliki,51.8333,143.1667,36.34,73,42,7.0,RU,1698509551
177,bavly,54.393,53.2602,31.28,53,100,7.54,RU,1698509585
178,kyzyl-suu,42.3414,78.0056,46.87,57,10,5.53,KG,1698509586
179,nantucket,41.2835,-70.0995,73.54,77,0,16.11,US,1698509554
180,sos'va,59.1766,61.8558,26.06,65,45,3.0,RU,1698509587
181,mooloolaba,-26.6833,153.1167,62.06,86,86,3.0,AU,1698509587
182,khandyga,62.6667,135.6,4.23,94,84,3.58,RU,1698509587
183,saldanha,-33.0117,17.9442,64.45,63,0,32.91,ZA,1698509588
184,bagula,23.3167,88.65,75.58,57,44,7.23,IN,1698509588
185,kyzylorda,44.8528,65.5092,60.82,63,75,4.47,KZ,1698509589
186,le port,-20.9373,55.2919,77.0,99,21,3.4,RE,1698509589
187,fort st. john,56.2499,-120.8529,21.09,73,75,3.44,CA,1698509590
188,atafu village,-8.5421,-172.5159,82.15,74,54,4.54,TK,1698509590
189,constantia,44.1833,28.65,66.88,45,49,4.18,RO,1698509591
